id,label
自己,自己
成绩,成绩
孩子,孩子
感觉,感觉
希望,希望
焦虑,焦虑
一直,一直
身边,身边
成功,成功
同学,同学
事情,事情
社会,社会
难过,难过
高中,高中
毕业,毕业
别人,别人
大学,大学
觉得,觉得
失败,失败
没有,没有
家里,家里
专业,专业
无法,无法
需要,需要
学生,学生
家庭,家庭
学校,学校
压力,压力
喜欢,喜欢
最近,最近
学习,学习
问题,问题
选择,选择
改变,改变
以后,以后
环境,环境
现在,现在
一年,一年
每天,每天
抑郁,抑郁
工作,工作
人生,人生
有时候,有时候
生活,生活
状态,状态
不敢,不敢
说话,说话
紧张,紧张
想要,想要
感到,感到
考试,考试
妈妈,妈妈
晚上,晚上
睡觉,睡觉
身体,身体
朋友,朋友
不行,不行
烦恼,烦恼
困难,困难
负面,负面
放松,放松
担心,担心
压抑,压抑
陷入,陷入
情绪,情绪
结果,结果
经常,经常
担忧,担忧
总是,总是
不能,不能
缓解,缓解
准备,准备
吃饭,吃饭
治疗,治疗
领导,领导
公司,公司
回家,回家
怎么办,怎么办
能力,能力
持续,持续
去年,去年
完成,完成
难以,难以
面对,面对
目前,目前
未来,未来
城市,城市
决定,决定
失眠,失眠
不想,不想
家人,家人
如何,如何
比较,比较
办法,办法
地方,地方
收入,收入
同事,同事
医院,医院
医生,医生
有点,有点
工资,工资
内心,内心
房子,房子
长期,长期
睡不着,睡不着
检查,检查
烦躁,烦躁
天天,天天
下班,下班
经历,经历
重新,重新
疫情,疫情
安排,安排
面试,面试
产品,产品
上班,上班
在家,在家
父母,父母
老师,老师
备考,备考
考研,考研
迷茫,迷茫
爸爸,爸爸
考不上,考不上
稳定,稳定
高考,高考
生病,生病
严重,严重
解决,解决
关系,关系
害怕,害怕
失去,失去
高三,高三
心情,心情
复习,复习
影响,影响
合适,合适
怀疑,怀疑
一段时间,一段时间
效率,效率
赚钱,赚钱
新冠,新冠
想着,想着
表现,表现
任务,任务
今年,今年
照顾,照顾
投资,投资
离婚,离婚
儿子,儿子
失业,失业
睡眠,睡眠
岗位,岗位
时常,时常
裁员,裁员
本人,本人
经济,经济
长时间,长时间
单位,单位
家里人,家里人
企业,企业
老婆,老婆
面临,面临
不安,不安
下降,下降
质量,质量
小孩,小孩
研究生,研究生
倾诉,倾诉
状况,状况
手术,手术
怀孕,怀孕
