所属主题,文章数量,特征词,主题强度
Topic0,191,不好、坏果、果子、很小、好几个、新鲜、便宜、口感、日期、打开、一分、质量、味道、一分货、下次、大部分、发黄、挺好吃、收到、确实,0.081001
Topic1,351,好吃、好多、一包、味道、直播间、第一次、发黄、感觉、颜色、收到、坏果、打开、东西、几个、口感、小果、反正、特别、包装、物流,0.14885
Topic2,253,开口、收到、好吃、第一次、豆皮、购买、口感、果肉、直播、那种、特别、上次、不错、新鲜、主播、好多、失望、包装、果子、感觉,0.10729
Topic3,203,感觉、味道、分量、好吃、粘壳、果子、收到、价格、果肉、个头、品质、小果、超市、时间、包裹、不是太好、说话、物流、不怎么样、口感,0.08609
Topic4,268,收到、包装、不好、总体、一点、果子、几个、下次、一半、感觉、新鲜、不错、粉条、回购、好吃、去年、回来、味道、只能、便宜,0.11366
Topic5,311,好吃、第一次、味道、一点、香味、不好、感觉、大果、新鲜、果小、果子、喜欢、回购、购买、口感、直播间、第二次、不太好、回来、东西,0.13189
Topic6,161,孩子、好吃、价格、味道、打开、坏果、喜欢、皮厚、口感、质量、不错、袋子、太小、三包、小袋、甜蜜、合适、一袋、特别、两个,0.068278
Topic7,190,口感、味道、评价、直播间、香味、打开、不太好、快递、几个、包装、剥开、果子、果皮、收到、发货、评论、性价比、个头、一袋、速度,0.080577
Topic8,136,一袋、果仁、快递、不错、味道、直播间、还好、果子、打开、看着、好吃、两个、服务、里边、说实话、追评、苦味、中评、真的、评价,0.057676
Topic9,139,大果、购买、便宜、收到、第二次、很快、香味、价格、坏果、一半、发货、小果、商家、看着、只能、物流、好吃、块钱、一股、不好,0.058948
Topic10,155,口感、一包、不好、感觉、态度、便宜、四个、一点、东西、一分钱、一分货、两包、回购、坏果、不错、收到、发霉、一共、新鲜、挺好吃,0.065734
