Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重
好吃,0.057,好吃,0.106,不错,0.053
味道,0.044,回购,0.073,好吃,0.050
喜欢,0.043,购买,0.048,收到,0.048
速度,0.035,值得,0.031,口感,0.042
物流,0.035,特别,0.019,新鲜,0.029
发货,0.035,收到,0.019,好评,0.024
不错,0.034,推荐,0.017,果子,0.022
很快,0.025,下次,0.016,包装,0.017
描述,0.025,粉条,0.016,质量,0.016
包装,0.024,真的,0.015,看着,0.013
性价比,0.020,挺好吃,0.015,脆甜,0.013
相符,0.018,香味,0.014,实惠,0.011
回购,0.017,第二次,0.014,个头,0.011
孩子,0.015,不错,0.013,价格,0.010
很甜,0.014,新鲜,0.013,饱满,0.010
特别,0.013,很甜,0.012,粉条,0.010
收到,0.012,满意,0.011,物流,0.010
情况,0.012,雨姐,0.010,很大,0.009
服务态度,0.012,品质,0.009,水分,0.009
确实,0.011,贡菜,0.008,贡菜,0.009
