,year,values,growth
0,2018-01-31,26,
1,2018-02-28,24,-7.692307692307687
2,2018-03-31,41,70.83333333333333
3,2018-04-30,40,-2.4390243902439046
4,2018-05-31,47,17.500000000000004
5,2018-06-30,39,-17.021276595744684
6,2018-07-31,30,-23.076923076923073
7,2018-08-31,25,-16.666666666666664
8,2018-09-30,30,19.999999999999996
9,2018-10-31,25,-16.666666666666664
10,2018-11-30,42,68.0
11,2018-12-31,39,-7.14285714285714
12,2019-01-31,30,-23.076923076923073
13,2019-02-28,42,39.99999999999999
14,2019-03-31,33,-21.42857142857143
15,2019-04-30,36,9.090909090909083
16,2019-05-31,29,-19.444444444444443
17,2019-06-30,36,24.13793103448276
18,2019-07-31,42,16.666666666666675
19,2019-08-31,40,-4.761904761904767
20,2019-09-30,46,14.999999999999991
21,2019-10-31,29,-36.95652173913043
22,2019-11-30,38,31.034482758620683
23,2019-12-31,40,5.263157894736836
24,2020-01-31,34,-15.000000000000002
25,2020-02-29,33,-2.941176470588236
26,2020-03-31,23,-30.303030303030297
27,2020-04-30,29,26.086956521739136
28,2020-05-31,29,0.0
29,2020-06-30,30,3.4482758620689724
30,2020-07-31,37,23.33333333333334
31,2020-08-31,31,-16.216216216216218
32,2020-09-30,45,45.16129032258065
33,2020-10-31,27,-40.0
34,2020-11-30,31,14.814814814814813
35,2020-12-31,27,-12.903225806451612
36,2021-01-31,38,40.74074074074075
37,2021-02-28,27,-28.947368421052634
38,2021-03-31,30,11.111111111111116
39,2021-04-30,30,0.0
40,2021-05-31,20,-33.333333333333336
41,2021-06-30,28,39.99999999999999
42,2021-07-31,34,21.42857142857142
43,2021-08-31,40,17.647058823529417
44,2021-09-30,31,-22.499999999999996
45,2021-10-31,31,0.0
46,2021-11-30,34,9.677419354838701
47,2021-12-31,20,-41.17647058823529
48,2022-01-31,44,120.00000000000001
49,2022-02-28,24,-45.45454545454546
50,2022-03-31,40,66.66666666666667
51,2022-04-30,30,-25.0
52,2022-05-31,32,6.666666666666665
53,2022-06-30,31,-3.125
54,2022-07-31,36,16.129032258064523
55,2022-08-31,25,-30.555555555555557
56,2022-09-30,40,60.00000000000001
57,2022-10-31,44,10.000000000000009
58,2022-11-30,31,-29.54545454545454
59,2022-12-31,42,35.48387096774193
60,2023-01-31,4,-90.47619047619048
